Country,Population
Afghanistan,28809167
Albania,2904780
Algeria,36717132
Andorra,82326
Angola,21942296
Antigua and Barbuda,88152
Argentina,41655616
Armenia,2967984
Aruba,101936
Australia,22340024
Austria,8391643
Azerbaijan,9173082
Bahamas,366711
Bahrain,1306014
Bangladesh,153405612
Barbados,280602
Belarus,9473000
Belgium,11047744
Belize,329193
Benin,9779391
Bermuda,64564
Bhutan,732246
Bolivia,10078238
Bosnia and Herzegovina,3832310
Botswana,2089706
Brazil,200517584
British Virgin Islands,27906
Brunei Darussalam,399443
Bulgaria,7348328
Burkina Faso,16106851
Burundi,9790151
Cabo Verde,495159
Cambodia,14593099
Cameroon,21119065
Canada,34342780
Cayman Islands,56580
Chad,12298512
Channel Islands,160489
Chile,17201305
China,1344130000
Colombia,46406446
Comoros,715972
Dem. Rep. of Congo,68087376
Rep. of Congo,4177435
Costa Rica,4600487
Cote d'Ivoire,20604172
Croatia,4280622
Cuba,11323570
Curacao,150831
Cyprus,1116644
Czech Republic,10496088
Denmark,5570572
Djibouti,841802
Dominica,71402
Dominican Republic,10027140
Ecuador,15177280
Egypt,83787634
El Salvador,6055208
Equatorial Guinea,750918
Eritrea,4789568
Estonia,1327439
Ethiopia,89858696
Faroe Islands,48492
Fiji,867327
Finland,5388272
France,65342776
French Polynesia,270862
Gabon,1577298
Gambia,1749099
Georgia,3875000
Germany,81797673
Ghana,24928503
Gibraltar,31067
Greece,11104899
Greenland,56890
Grenada,105070
Guam,160858
Guatemala,15049280
Guinea,11316351
Guinea-Bissau,1673509
Guyana,755883
Haiti,10144890
Honduras,7621414
Hong Kong,7071600
Hungary,9971727
Iceland,319014
India,1247446011
Indonesia,244808254
Iran,75184322
Iraq,31867758
Ireland,4576794
Isle of Man,85069
Israel,7765800
Italy,59379449
Jamaica,2699838
Japan,127817277
Jordan,6760371
Kazakhstan,16556600
Kenya,41419954
Kiribati,104662
North Korea,24631359
South Korea,49779440
Kosovo,1790957
Kuwait,3239181
Kyrgyz Republic,5514600
Lao PDR,6366909
Latvia,2059709
Lebanon,4591698
Lesotho,2032950
Liberia,4079574
Libya,6288652
Liechtenstein,36537
Lithuania,3028115
Luxembourg,518347
Macao,546682
Macedonia,2065888
Madagascar,21678867
Malawi,15226813
Malaysia,28572970
Maldives,377000
Mali,15639115
Malta,416268
Marshall Islands,52541
Mauritania,3683221
Mauritius,1252404
Mexico,120365271
Micronesia,103476
Moldova,3559986
Monaco,37189
Mongolia,2759074
Montenegro,620079
Morocco,32531964
Mozambique,25016921
Myanmar,52125411
Namibia,2240161
Nauru,10043
Nepal,27179237
Netherlands,16693074
New Caledonia,254000
New Zealand,4384000
Nicaragua,5807787
Niger,16946485
Nigeria,163770669
Northern Mariana Islands,53234
Norway,4953088
Oman,3210003
Other small states,26564437
Pacific island small states,2239849
Pakistan,173669648
Palau,20606
Panama,3681979
Papua New Guinea,7001172
Paraguay,6293763
Peru,29759891
Philippines,94501233
Poland,38063255
Portugal,10557560
Puerto Rico,3678736
Qatar,1905437
Romania,20147528
Russian Federation,142960868
Rwanda,10556429
Samoa,187434
San Marino,30938
Sao Tome and Principe,174646
Saudi Arabia,28788438
Senegal,13357003
Serbia,7234099
Seychelles,87441
Sierra Leone,5908908
Singapore,5183688
Sint Maarten (Dutch part),33435
Slovak Republic,5398384
Slovenia,2052843
Small states,35700983
Solomon Islands,537648
Somalia,9806670
South Africa,51549958
South Sudan,10510122
Spain,46742697
Sri Lanka,20270000
St. Kitts and Nevis,52998
St. Lucia,179278
St. Martin (French part),30615
St. Vincent and the Grenadines,109341
Sudan,36918193
Suriname,523439
Swaziland,1212458
Sweden,9449213
Switzerland,7912398
Syrian Arab Republic,20501167
Tajikistan,7753925
Tanzania,47122998
Thailand,66902958
Timor-Leste,1120392
Togo,6566179
Tonga,104392
Trinidad and Tobago,1334790
Tunisia,10673800
Turkey,73517002
Turkmenistan,5106672
Turks and Caicos Islands,31727
Tuvalu,9844
Uganda,34260342
Ukraine,45706100
United Arab Emirates,8734722
United Kingdom,63258918
United States,311718857
Uruguay,3385610
Uzbekistan,29339400
Vanuatu,241876
Venezuela,29427631
Vietnam,87860300
Virgin Islands (U.S.),105784
West Bank and Gaza,3927051
Yemen,24234940
Zambia,14343526
Zimbabwe,14255592
